target_key,target_type,QuestionId,question_text,correct_answer,correct_answer_kaggle,target_distractor_kaggle,target_answer,misconception_id,misconception_name,student_selection_pct_kaggle,total_responses,pct_A,pct_B,pct_C,pct_D
ORDER_OPS,procedural,189,What is the \( 15 \) th term of this sequence? \( u_{n}=1-3 n \),C,A,D,\( -30 \),1507,Carries out operations from left to right regardless of priority order,12.86,941,9.46,14.35,63.34,12.86
ORDER_OPS,procedural,233,"Which answer shows the following calculation using the correct algebraic convention?
\(
2 \div(3+a \times b)
\)",A,C,A,\( \frac{2}{3}+a b \),1507,Carries out operations from left to right regardless of priority order,76.88,173,76.88,7.51,9.83,5.78
ORDER_OPS,procedural,254,"When calculating the mean of the following numbers which calculation will give the correct answer?
\[
0,1,3,4,7
\]",C,A,B,\( 0+1+3+4+7 \div 5 \),1507,Carries out operations from left to right regardless of priority order,12.35,688,5.67,12.35,62.06,19.91
ORDER_OPS,procedural,304,"\[
1+2 \times(3-4)=
\]

Which calculation should you do first?",C,C,A,\( 1+2 \),1507,Carries out operations from left to right regardless of priority order,11.13,1582,11.13,8.09,72.95,7.84
ORDER_OPS,procedural,306,"Problem P: \( 4-5+6= \)
Problem Q: \( 4+5 \times 6= \)

Which calculation should you do first in each problem?",A,B,A,"Problem P: \( 4-5 \)
Problem Q: \( 4+5 \)",1507,Carries out operations from left to right regardless of priority order,75.62,283,75.62,13.78,1.41,9.19
ORDER_OPS,procedural,329,"Tom and Katie are discussing the order of operations
Tom says: \( 0.1-0.2 \div 0.3 \equiv 0.1-(0.2 \div 0.3) \)
Katie says: \( 0.1-0.2 \div 0.3 \equiv 0.2 \div 0.3-0.1 \)
Who is correct?",C,A,B,"Only
Katie",1507,Carries out operations from left to right regardless of priority order,10.0,60,5.0,10.0,81.67,3.33
ORDER_OPS,procedural,361,"![Think of a number, then subtract \( 5 \), next divide by \( 8 \), next add 4, and finally multiply by \( 7 \).]() Jo says you can write this as:
\[
7\left(\frac{(n-5)}{8}+4\right)
\]
Paul says you can write this as:
\[
7((n-5) \div 8)+4
\]
Who is correct?",B,A,D,Neither is correct,1507,Carries out operations from left to right regardless of priority order,7.56,238,4.62,81.93,5.88,7.56
ORDER_OPS,procedural,550,"Tom and Katie are discussing the order of operations
Tom says: \( 3+2-1 \equiv 3-1+2 \)
Katie says: \( 3+2 \times 1 \equiv 2 \times 1+3 \)",B,C,B,Only Katie,1507,Carries out operations from left to right regardless of priority order,56.25,64,28.12,56.25,9.38,6.25
ORDER_OPS,procedural,695,\( 18 \div 2+2 \times 2= \),D,B,C,\( 22 \),1507,Carries out operations from left to right regardless of priority order,9.69,1218,2.55,15.85,9.69,71.92
ORDER_OPS,procedural,728,Add brackets to this calculation to make the answer \( 7 \). \( 16-6+4 \div 2 \),B,D,A,\( 16-(6+4) \div 2 \),1507,Carries out operations from left to right regardless of priority order,4.3,93,4.3,86.02,3.23,6.45
ORDER_OPS,procedural,746,\( 4+12 \div(2+2)= \),D,B,A,\( 10 \),1507,Carries out operations from left to right regardless of priority order,13.33,60,13.33,10.0,15.0,61.67
ORDER_OPS,procedural,858,"Problem P: \( (4+5)^{2}= \)
Problem Q: \( 4+5^{2}= \)

Which calculation should you do first in each problem?",A,B,A,"Problem P: \( 4+5 \)
Problem Q: \( 4+5 \)",1507,Carries out operations from left to right regardless of priority order,81.63,49,81.63,8.16,6.12,4.08
ORDER_OPS,procedural,899,"\[
10-8 \times 7+6=
\]

Which calculation should you do first?",C,C,B,\( 10-8 \),1507,Carries out operations from left to right regardless of priority order,1.32,152,1.32,1.32,94.74,2.63
