AssessmentName,QuestionNumber,Subject[0].subjectId,Subject[0].subjectName,GradeLevel,ContentSubType,ContentSubSubType,QuestionText,Rubrics[0].score,Rubrics[1].score,Rubrics[2].score,Rubrics[3].score,Rubrics[0].criteria,Rubrics[1].criteria,Rubrics[2].criteria,Rubrics[3].criteria,Rubrics[0].rubricId,Rubrics[1].rubricId,Rubrics[2].rubricId,Rubrics[3].rubricId,Skills[0].skillId,Skills[1].skillId,Skills[2].skillId,Skills[0].skillName,Skills[1].skillName,Skills[2].skillName
Grade 6 — English,1,3,English,6,openEnded,shortAnswer,Where did she find the old book?,1,,,,"Correctly identifies that she found the old book in the attic. (Accept: 'in the attic', 'attic', 'Riya found the book in the attic')",,,,WsCMTtynFsjE-uNZHuB2_,,,,1,,,Reading Comprehension,,
Grade 6 — English,2,3,English,6,openEnded,shortAnswer,Who lived inside the book?,1,,,,"Correctly states that a magical fairy lived inside the book. (Accept: 'a magical fairy', 'fairy')",,,,oJUSKq71P5tomTNtVmvCX,,,,1,,,Reading Comprehension,,
Grade 6 — English,3,3,English,6,openEnded,shortAnswer,What did Riya love to do in the evening?,1,,,,"States that Riya loved to read books in the evening. (Accept: 'read books', 'read her story book', 'Riya loved reading in the evening')",,,,cUH96RyXgqUtlhFnuzu6J,,,,1,,,Reading Comprehension,,
Grade 6 — English,4,3,English,6,openEnded,shortAnswer,"Find a word in the passage that means ""shining brightly"".",1,,,,Writes 'glowing' as the word from the passage that means shining brightly. (Accept: 'glowing'),,,,fCOSei-WK5_ZnZL6cZDl0,,,,523,,,Vocabulary,,
Grade 6 — English,5,3,English,6,openEnded,shortAnswer,"Based on the poem, what is the most important thing to the poet?",1.5,,,,Mentions relevant phrases from the poem reflecting agreement with themes such as value of friendship or being blessed with friends. Award full marks if the overall theme is mentioned without explicitly mentioning evidence.,,,,zeE8lJxnb-Hw2KIa8DUY7,,,,526,,,Understanding Stories and Poems,,
Grade 6 — English,6,3,English,6,openEnded,shortAnswer,Which line from the poem do you like the most and why?,1.5,,,,Denotes a line from the poem and mentions why.,,,,jjEf5hLHutqjEYkmeCv2J,,,,526,,,Understanding Stories and Poems,,
Grade 6 — English,7,3,English,6,multipleChoice,tickmark,She __________ (go) to school every morning.,1,,,,Writes 'goes' for 'Rohan ___ (go) to school every day' and 'stayed' for 'he ___ (stay) at home.' (Both must be correct to get 1 mark),,,,m4rMIPkvy1gcHcjRIUghQ,,,,524,,,Building Correct Sentences and Using Proper Grammar,,
Grade 6 — English,8,3,English,6,openEnded,shortAnswer,Rearrange the words to make a meaningful sentence:\nbook/reading/a/is/he,1,,,,Arranges words into 'He is reading a book.' (subject-verb-object format),,,,gcQG0ONRO1GS_tfahdUAb,,,,524,,,Building Correct Sentences and Using Proper Grammar,,
Grade 6 — English,9,3,English,6,openEnded,shortAnswer,Rewrite the sentence using correct punctuation.\nriya and her friend meena went to the market on sunday.,1,,,,Rewrites the sentence as 'Riya and her friend Meena went to the market on Sunday.' with correct capitalization and punctuation.,,,,kKRnIFnxjo-JWh33z4HAo,,,,524,,,Building Correct Sentences and Using Proper Grammar,,
Grade 6 — English,10,3,English,6,openEnded,shortAnswer,Choose the correct word. There are (some/any) apples in the basket.,1,,,,Selects 'some' as the correct word for the sentence.,,,,w8Q320UZY93FhfxytDjzC,,,,524,,,Building Correct Sentences and Using Proper Grammar,,
Grade 6 — English,11,3,English,6,openEnded,shortAnswer,Identify the verb phrase in the sentence:\nThe children are playing football.,1,,,,Identifies 'are playing' as the verb phrase,,,,GhVWe4Msn3qbH55wW5pNr,,,,524,,,Building Correct Sentences and Using Proper Grammar,,
