item_id,model,condition,response_idx,prompt,raw_response,parsed_answer,reasoning,correct_answer,is_correct,error,timestamp,misconception_id,misconception_name,misconception_category,model_name,capability_tier,gsm8k_score
PROC_ORDER_OPS_01,gpt-4o-mini,answer_only,0,"Solve this math problem. Select the best answer from the options.

Question: Calculate: 5 + 3 × 2

A) 16
B) 11
C) 13
D) 10

Answer:",,,,B,,openai package not installed,2026-01-26T11:45:16.034635,PROC_ORDER_OPS,Carries out operations from left to right regardless of priority order,Procedural,gpt-4o-mini,mid,85.0
PROC_ORDER_OPS_01,gpt-4o-mini,answer_only,1,"Solve this math problem. Select the best answer from the options.

Question: Calculate: 5 + 3 × 2

A) 16
B) 11
C) 13
D) 10

Answer:",,,,B,,openai package not installed,2026-01-26T11:45:16.034944,PROC_ORDER_OPS,Carries out operations from left to right regardless of priority order,Procedural,gpt-4o-mini,mid,85.0
PROC_ORDER_OPS_01,gpt-4o-mini,answer_only,2,"Solve this math problem. Select the best answer from the options.

Question: Calculate: 5 + 3 × 2

A) 16
B) 11
C) 13
D) 10

Answer:",,,,B,,openai package not installed,2026-01-26T11:45:16.034967,PROC_ORDER_OPS,Carries out operations from left to right regardless of priority order,Procedural,gpt-4o-mini,mid,85.0
PROC_ORDER_OPS_01,gpt-4o-mini,answer_only,3,"Solve this math problem. Select the best answer from the options.

Question: Calculate: 5 + 3 × 2

A) 16
B) 11
C) 13
D) 10

Answer:",,,,B,,openai package not installed,2026-01-26T11:45:16.034980,PROC_ORDER_OPS,Carries out operations from left to right regardless of priority order,Procedural,gpt-4o-mini,mid,85.0
PROC_ORDER_OPS_01,gpt-4o-mini,answer_only,4,"Solve this math problem. Select the best answer from the options.

Question: Calculate: 5 + 3 × 2

A) 16
B) 11
C) 13
D) 10

Answer:",,,,B,,openai package not installed,2026-01-26T11:45:16.034989,PROC_ORDER_OPS,Carries out operations from left to right regardless of priority order,Procedural,gpt-4o-mini,mid,85.0
PROC_ORDER_OPS_01,gpt-4o-mini,explain,0,"Solve this math problem. Show your reasoning step by step, then select the best answer from the options.

Question: Calculate: 5 + 3 × 2

A) 16
B) 11
C) 13
D) 10

Reasoning:",,,,B,,openai package not installed,2026-01-26T11:45:21.156310,PROC_ORDER_OPS,Carries out operations from left to right regardless of priority order,Procedural,gpt-4o-mini,mid,85.0
PROC_ORDER_OPS_01,gpt-4o-mini,explain,1,"Solve this math problem. Show your reasoning step by step, then select the best answer from the options.

Question: Calculate: 5 + 3 × 2

A) 16
B) 11
C) 13
D) 10

Reasoning:",,,,B,,openai package not installed,2026-01-26T11:45:21.156505,PROC_ORDER_OPS,Carries out operations from left to right regardless of priority order,Procedural,gpt-4o-mini,mid,85.0
PROC_ORDER_OPS_01,gpt-4o-mini,explain,2,"Solve this math problem. Show your reasoning step by step, then select the best answer from the options.

Question: Calculate: 5 + 3 × 2

A) 16
B) 11
C) 13
D) 10

Reasoning:",,,,B,,openai package not installed,2026-01-26T11:45:21.156532,PROC_ORDER_OPS,Carries out operations from left to right regardless of priority order,Procedural,gpt-4o-mini,mid,85.0
PROC_ORDER_OPS_01,gpt-4o-mini,explain,3,"Solve this math problem. Show your reasoning step by step, then select the best answer from the options.

Question: Calculate: 5 + 3 × 2

A) 16
B) 11
C) 13
D) 10

Reasoning:",,,,B,,openai package not installed,2026-01-26T11:45:21.156542,PROC_ORDER_OPS,Carries out operations from left to right regardless of priority order,Procedural,gpt-4o-mini,mid,85.0
PROC_ORDER_OPS_01,gpt-4o-mini,explain,4,"Solve this math problem. Show your reasoning step by step, then select the best answer from the options.

Question: Calculate: 5 + 3 × 2

A) 16
B) 11
C) 13
D) 10

Reasoning:",,,,B,,openai package not installed,2026-01-26T11:45:21.156550,PROC_ORDER_OPS,Carries out operations from left to right regardless of priority order,Procedural,gpt-4o-mini,mid,85.0
PROC_ORDER_OPS_01,gpt-4o-mini,persona,0,"You are a middle school student working on a math problem. Students at your level sometimes make mistakes - that's okay and normal.

Solve this problem the way a real student would. Show your thinking as you work through it, even if you're not sure. It's fine to make errors.

Question: Calculate: 5 + 3 × 2

A) 16
B) 11
C) 13
D) 10

Your thinking:",,,,B,,openai package not installed,2026-01-26T11:45:26.280186,PROC_ORDER_OPS,Carries out operations from left to right regardless of priority order,Procedural,gpt-4o-mini,mid,85.0
PROC_ORDER_OPS_01,gpt-4o-mini,persona,1,"You are a middle school student working on a math problem. Students at your level sometimes make mistakes - that's okay and normal.

Solve this problem the way a real student would. Show your thinking as you work through it, even if you're not sure. It's fine to make errors.

Question: Calculate: 5 + 3 × 2

A) 16
B) 11
C) 13
D) 10

Your thinking:",,,,B,,openai package not installed,2026-01-26T11:45:26.281007,PROC_ORDER_OPS,Carries out operations from left to right regardless of priority order,Procedural,gpt-4o-mini,mid,85.0
PROC_ORDER_OPS_01,gpt-4o-mini,persona,2,"You are a middle school student working on a math problem. Students at your level sometimes make mistakes - that's okay and normal.

Solve this problem the way a real student would. Show your thinking as you work through it, even if you're not sure. It's fine to make errors.

Question: Calculate: 5 + 3 × 2

A) 16
B) 11
C) 13
D) 10

Your thinking:",,,,B,,openai package not installed,2026-01-26T11:45:26.281053,PROC_ORDER_OPS,Carries out operations from left to right regardless of priority order,Procedural,gpt-4o-mini,mid,85.0
PROC_ORDER_OPS_01,gpt-4o-mini,persona,3,"You are a middle school student working on a math problem. Students at your level sometimes make mistakes - that's okay and normal.

Solve this problem the way a real student would. Show your thinking as you work through it, even if you're not sure. It's fine to make errors.

Question: Calculate: 5 + 3 × 2

A) 16
B) 11
C) 13
D) 10

Your thinking:",,,,B,,openai package not installed,2026-01-26T11:45:26.281078,PROC_ORDER_OPS,Carries out operations from left to right regardless of priority order,Procedural,gpt-4o-mini,mid,85.0
PROC_ORDER_OPS_01,gpt-4o-mini,persona,4,"You are a middle school student working on a math problem. Students at your level sometimes make mistakes - that's okay and normal.

Solve this problem the way a real student would. Show your thinking as you work through it, even if you're not sure. It's fine to make errors.

Question: Calculate: 5 + 3 × 2

A) 16
B) 11
C) 13
D) 10

Your thinking:",,,,B,,openai package not installed,2026-01-26T11:45:26.281087,PROC_ORDER_OPS,Carries out operations from left to right regardless of priority order,Procedural,gpt-4o-mini,mid,85.0
PROC_ORDER_OPS_02,gpt-4o-mini,answer_only,0,"Solve this math problem. Select the best answer from the options.

Question: What is 12 - 4 × 2?

A) 16
B) 4
C) 8
D) 20

Answer:",,,,B,,openai package not installed,2026-01-26T11:45:31.406446,PROC_ORDER_OPS,Carries out operations from left to right regardless of priority order,Procedural,gpt-4o-mini,mid,85.0
PROC_ORDER_OPS_02,gpt-4o-mini,answer_only,1,"Solve this math problem. Select the best answer from the options.

Question: What is 12 - 4 × 2?

A) 16
B) 4
C) 8
D) 20

Answer:",,,,B,,openai package not installed,2026-01-26T11:45:31.406603,PROC_ORDER_OPS,Carries out operations from left to right regardless of priority order,Procedural,gpt-4o-mini,mid,85.0
